Year,Month,Month name,Train,Tram,Bus,Regional train,Regional coach,Regional bus
2018,1,January,16809932.00,15231368.00,7568547.00,1466256.00,116568.00,721229.00
2018,2,February,19554477.00,16980925.00,10487311.00,1522981.00,103197.00,1118494.00
2018,3,March,22659010.00,19832126.00,11528895.00,1809774.00,117180.00,1224816.00
2018,4,April,20312040.00,16919872.00,9592750.00,1684827.00,107480.00,946218.00
2018,5,May,22768447.00,17691427.00,11263486.00,1790656.00,109456.00,1258704.00
2018,6,June,19284755.00,15836171.00,9526795.00,1535636.00,101215.00,1077970.00
2018,7,July,20732099.00,17169239.00,9657327.00,1799245.00,109103.00,967622.00
2018,8,August,22566766.00,18415592.00,11756706.00,1845673.00,110348.00,1261319.00
2018,9,September,20056487.00,15892774.00,9878596.00,1676490.00,104525.00,1033758.00
2018,10,October,22299761.00,18677490.00,11233979.00,1872410.00,121267.00,1232418.00
2018,11,November,20806123.00,17398998.00,10367915.00,1755492.00,111699.00,1182863.00
2018,12,December,16665365.00,15404107.00,7941245.00,1534399.00,113023.00,878944.00
2019,1,January,17074623.00,15695535.00,7845144.00,1532342.00,110708.00,748369.00
2019,2,February,20011823.00,16485000.00,10105546.00,1676391.00,103886.00,1201991.00
2019,3,March,22250796.00,19456794.00,11775566.00,1916630.00,112302.00,1232933.00
2019,4,April,18579825.00,17400302.00,9667587.00,1722745.00,111012.00,961318.00
2019,5,May,23045436.00,18410816.00,12082141.00,2007166.00,111604.00,1287180.00
2019,6,June,19099513.00,15041547.00,9515676.00,1704331.00,98137.00,1084632.00
2019,7,July,20771347.00,16784796.00,10417277.00,1898701.00,108706.00,1083306.00
2019,8,August,22618021.00,17578879.00,11485155.00,1981136.00,107987.00,1275349.00
2019,9,September,20593343.00,15733247.00,10238956.00,1805116.00,104419.00,1089826.00
2019,10,October,22429337.00,16917616.00,11294945.00,1927784.00,115819.00,1212228.00
2019,11,November,20413342.00,15344062.00,10405336.00,1728907.00,106782.00,1126220.00
2019,12,December,17890229.00,13736921.00,8858522.00,1648394.00,110447.00,873469.00
2020,1,January,17015987.00,13396238.00,8369145.00,1684792.00,105751.00,764361.00
2020,2,February,19811543.00,14656787.00,10407862.00,1771293.00,99955.00,1276038.00
2020,3,March,13746958.00,9602985.00,7600641.00,1252698.00,74665.00,947946.00
2020,4,April,2165747.00,1376119.00,1507175.00,245905.00,17602.00,227342.00
2020,5,May,3670296.00,2587250.00,2539068.00,374640.00,29670.00,368116.00
2020,6,June,6432121.00,4080847.00,4752862.00,580767.00,51732.00,763812.00
2020,7,July,3963903.00,2505061.00,3170618.00,425103.00,41425.00,769837.00
2020,8,August,1887499.00,1224017.00,1793958.00,222256.00,17890.00,343285.00
2020,9,September,1931257.00,1245928.00,2038847.00,257723.00,23051.00,380397.00
2020,10,October,3388960.00,2130346.00,3769166.00,365653.00,36990.00,848872.00
2020,11,November,6439402.00,4511166.00,5795635.00,593115.00,51260.00,911034.00
2020,12,December,7868276.00,5995164.00,5885341.00,894120.00,74068.00,666297.00
2021,1,January,7231312.00,5553277.00,4805284.00,738979.00,60026.00,484867.00
2021,2,February,7822660.00,5882295.00,5617752.00,759259.00,54099.00,797454.00
2021,3,March,11852314.00,8750223.00,7645169.00,1182831.00,75765.00,1009127.00
2021,4,April,11632636.00,9123455.00,6628991.00,1199886.00,75002.00,697503.00
2021,5,May,11375712.00,8761433.00,6962665.00,1117254.00,66206.00,811685.00
2021,6,June,6321515.00,4557256.00,4452322.00,624054.00,46233.00,693393.00
2021,7,July,7512489.00,5093722.00,4722392.00,688891.00,45599.00,599227.00
2021,8,August,3954587.00,2686330.00,3102190.00,444102.00,33264.00,707880.00
2021,9,September,2769485.00,1910362.00,2405774.00,257172.00,23838.00,451102.00
2021,10,October,3995863.00,3102681.00,3435761.00,376222.00,33948.00,656824.00
2021,11,November,8341146.00,7034365.00,6453897.00,759913.00,55165.00,855704.00
2021,12,December,9127862.00,8359146.00,5912880.00,994159.00,67426.00,688849.00
2022,1,January,5778986.00,5372999.00,4124071.00,675856.00,51750.00,549859.00
2022,2,February,8382008.00,7962117.00,6205045.00,865020.00,57210.00,985731.00
2022,3,March,13045722.00,11614262.00,8476974.00,1298156.00,73664.00,1060923.00
2022,4,April,11890697.00,10065400.00,6870377.00,1220454.00,73735.00,838558.00
2022,5,May,12833409.00,10150913.00,7779324.00,1288118.00,71603.00,1121794.00
2022,6,June,11842624.00,9590565.00,6943793.00,1239135.00,70919.00,926422.00
2022,7,July,12019600.00,11129287.00,7332966.00,1314106.00,75239.00,975473.00
2022,8,August,13095346.00,12361088.00,8338393.00,1349992.00,74401.00,1098964.00
2022,9,September,12936260.00,11791504.00,7472155.00,1378784.00,74648.00,858200.00
2022,10,October,12909284.00,12080170.00,8156542.00,1388467.00,68919.00,1159113.00
2022,11,November,13072188.00,12137205.00,8312554.00,1366061.00,74053.00,1035487.00
2022,12,December,11867965.00,10945095.00,7434002.00,1372918.00,85612.00,863993.00
2023,1,January,10109375.00,12245668.00,7090984.00,1295225.00,84946.00,820221.00
2023,2,February,12831622.00,12894448.00,8608284.00,1424645.00,77949.00,1096006.00
2023,3,March,16527142.00,15292063.00,10301621.00,1869164.00,88964.00,1247122.00
2023,4,April,13288137.00,12402173.00,8124564.00,1469224.00,89335.00,938444.00
